"id","nombre","keywords","horario","preciosimbolo","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
160,"El Autentico Pato Manila","cerveza","Ver todos los horarios","$","4.5"," **N.º 141** de 2,114 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d7219512-Reviews-El_Autentico_Pato_Manila-Mexico_City_Central_Mexico_and_Gulf_Coast.html","50","45","40","0","-","Mexicana, Comida rápida","Almuerzo, Cena","-","Comida para llevar, Sirve alcohol","Calle Culiacan 91, Ciudad de México 06100 México","","67988351","Calle Culiacan 91","México","Ciudad de México 06100,","","-99.170326","19.404343",81,48,18,1,2,2
1580,"Cariocas Pizzas","food","","$$ - $$$","4","**N.º 5** de 11 Italiana en Isla Holbox","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx/Restaurant_Review-g616319-d3443655-Reviews-Cariocas_Pizzas-Holbox_Island_Yucatan_Peninsula.html","45","40","40","45","-","-","-","-","-","Calle Damero 310, Isla Holbox 77310 México","","+52 984 114 7101","Calle Damero 310","México","Isla Holbox 77310,","","-87.378136","21.52515",246,118,49,15,9,9
161,"Olivetto R&L COCINA URBANA","cerveza","9:00 - 22:00","$","4.5"," **N.º 1** de 1 Italiana en Tenancingo","-","https://www.tripadvisor.com.mx//Restaurant_Review-g2095545-d9748152-Reviews-Olivetto_R_L_COCINA_URBANA-Tenancingo_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$16 - $86","Italiana, Mexicana, Pizzería, Comida rápida","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas","-","-","Lerdo#101 Esq. Lerdo 3er Piso, Tenancingo 52400 México","restauranteolivetto@gmail.com","+52 714 140 6690","Lerdo#101","México","Tenancingo 52400,","Esq. Lerdo 3er Piso","-99.594292","18.961721",4,3,0,1,0,0
162,"Il Borgo","cerveza","10:00 - 0:00","$$ - $$$","4.5"," **N.º 10** de 30 Italiana en San Cristóbal de las Casas","Certificado de ExcelenciaGanador en 2016, 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150802-d5264109-Reviews-Il_Borgo-San_Cristobal_de_las_Casas_Southern_Mexico.html","40","40","40","40","$50 - $180","Italiana, Pizzería, Mediterránea","-","Apto para vegetarianos","-","Real De Guadalupe 44A Andador, San Cristóbal de las Casas 29230 México","ilborgo@outlook.com","+52 967 674 6507","Real De Guadalupe 44A","México","San Cristóbal de las Casas 29230,","Andador","-92.633987","16.737635",95,48,12,6,2,2
163,"Vetz Gastropub","cerveza","Ver todos los horarios","$","5"," **N.º 692** de 740 Restaurantes en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d19877480-Reviews-Vetz_Gastropub-Puebla_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$40 - $235","Bar, Pizzería, Internacional, Española, Pub, Gastropub","Cena, Abierto hasta tarde, Bebidas","-","-","Avenida Juárez 1914 - B, Puebla 72160 México","lacervetzceria@outlook.es","+52 222 485 1092","Avenida Juárez 1914 - B","México","Puebla 72160,","","-98.213921","19.049547",2,2,0,0,0,0
164,"La Querencia","cerveza","Ver todos los horarios","$$$$","4.5"," **N.º 23** de 259 Mexicana en Tijuana","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150776-d889600-Reviews-La_Querencia-Tijuana_Baja_California.html","45","40","40","40","-","-","-","-","-","Escuadron 201 No. 3110, Tijuana México","","+52 664 972 9935","Escuadron 201 No. 3110","México","Tijuana,","","-117.009354","32.516895",153,85,38,9,3,3
165,"Pan & Qué?","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 22** de 83 Italiana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d1379194-Reviews-Pan_Que-Puerto_Vallarta.html","45","45","45","45","$94 - $259","Italiana, Pizzería","-","Apto para vegetarianos, Opciones veganas","-","Calle Peru # 1002 Col. 5 De Diciembre, Puerto Vallarta 48350 México","info@panyque.com","+52 322 223 0500","Calle Peru # 1002","México","Puerto Vallarta 48350,","Col. 5 De Diciembre","-105.231339","20.615067",228,95,60,20,6,5
166,"Cervecería Artesanal Uruapense","cerveza","","$","5","**N.º 7** de 8 Internacional en Uruapan","-","https://www.tripadvisor.com.mx//Restaurant_Review-g658423-d11733007-Reviews-Cerveceria_Artesanal_Uruapense-Uruapan_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$50 - $100","Internacional","-","-","-","Guadalupe Victoria 50 Col. Bellavista, Uruapan 60050 México","ventas@cerveceriauruapense.com","+52 452 523 8957","Guadalupe Victoria 50","México","Uruapan 60050,","Col. Bellavista","-102.055817","19.42135",3,2,0,0,0,0
167,"Agua y Sal Cebichería","cerveza","12:00 - 22:00","$$ - $$$","4.5"," **N.º 18** de 2,114 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d2219950-Reviews-Agua_y_Sal_Cebicheria-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","45","45","$589 - $824","Mexicana, Latina, Mariscos","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Campos Eliseos 199-A Polanco, Ciudad de México México","contacto@aguaysal.com.mx","+52 55 5282 2746","Campos Eliseos 199-A","México","Ciudad de México,","Polanco","-99.192451","19.428038",1184,539,197,58,12,11
168,"La Artesana","cerveza","Ver todos los horarios","$$$$","4"," **N.º 13** de 14 Estadounidense en Zacatecas","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152772-d13199591-Reviews-La_Artesana-Zacatecas_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$1,649 - $2,355","Estadounidense, Cervecería, Pub, Gastropub","Cena","-","-","Avenida Hidalgo 735 Centro Historico, Zacatecas 98000 México","","+52 492 108 4752","Avenida Hidalgo 735","México","Zacatecas 98000,","Centro Historico","-102.571968","22.777109",6,3,1,1,0,0
169,"Sierra Madre Brewing Co.","cerveza","","-","4","**N.º 1** de 4 Estadounidense en Escobedo","-","https://www.tripadvisor.com.mx//Restaurant_Review-g3194228-d13462950-Reviews-Sierra_Madre_Brewing_Co-Escobedo_Northern_Mexico.html","0","0","0","0","-","Estadounidense","-","-","-","Sendero # 130 Norte Valle del Canadá, Escobedo 66050 México","","+52 81 8058 1005","Sendero # 130 Norte","México","Escobedo 66050,","Valle del Canadá","-100.290329","25.76799",6,2,2,2,0,0
170,"Wings Army","cerveza","","$$ - $$$","4","**N.º 20** de 68 Estadounidense en Cancún","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d11858875-Reviews-Wings_Army-Cancun_Yucatan_Peninsula.html","45","45","45","0","$100 - $200","Estadounidense, Bar, Comida rápida, Pub","Cena","-","-","Boulevard Kukulkan Km 9, No 9 y 9A Local 1, Zona Hotelera, Cancún 77500 México","wingsarmycancunzh@gmail.com","+52 998 883 0926","Boulevard Kukulkan","México","Cancún 77500,","Km 9, No 9 y 9A Local 1, Zona Hotelera","-86.74614","21.133936",83,27,7,10,2,2
171,"Restaurante La Parroquia","cerveza","","$$ - $$$","3.5","**N.º 12** de 38 Mexicana en Taxco","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150803-d4209949-Reviews-Restaurante_La_Parroquia-Taxco_Pacific_Coast.html","35","35","30","40","-","Mexicana, Latina","Desayuno, Almuerzo, Cena, Brunch","-","Reservaciones, Asientos al aire libre, Asiento, Sillitas altas disponibles,
Sirve alcohol, Servicio de mesa","Plazuela de los Gallos no. 2 Centro, Taxco México","","+52 762 622 3096","Plazuela de los Gallos no. 2 Centro","México","Taxco,","","-99.605583","18.556316",222,49,62,39,21,22
172,"Senor Stone","cerveza","","$$ - $$$","4","**N.º 7** de 35 Cervecería en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d13082311-Reviews-Senor_Stone-Guadalajara_Guadalajara_Metropolitan_Area.html","50","35","45","0","-","Cervecería, Pizzería, Comida rápida, Parrilla, Pub, Bar","Cena","-","Reservaciones, Comida para llevar, Asiento, Servicio de mesa","Avenida Vallarta 1068 Colonia Americana, Guadalajara 44160 México","","13935451","Avenida Vallarta 1068","México","Guadalajara 44160,","Colonia Americana","-103.359741","20.674932",19,5,8,4,0,0
173,"Wing's Army","cerveza","Ver todos los horarios","$$ - $$$","3"," **N.º 772** de 1,010 Restaurantes en Cancún","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d10757072-Reviews-Wing_s_Army-Cancun_Yucatan_Peninsula.html","40","30","35","0","-","-","Almuerzo, Cena","-","Comida para llevar, Servicio de mesa","Av. La Luna Mz. 27Sm. 50 Local 5, Plaza del Ángel, Benito Juárez, Cancún 77533
México","","+52 998 206 1026","Av. La Luna Mz. 27Sm. 50","México","Cancún 77533,","Local 5, Plaza del Ángel, Benito Juárez","-86.84214","21.14834",22,5,5,6,1,4
174,"Odric's Beerhouse","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 21** de 50 Bar en Santiago de Querétaro","-","https://www.tripadvisor.com.mx//Restaurant_Review-g479232-d12160693-Reviews-Odric_s_Jurica-Queretaro_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Británica, Pub, Gastropub, Bar","Cena, Abierto hasta tarde, Bebidas, Desayuno, Almuerzo, Brunch","-","Comida para llevar, Reservaciones, Asientos al aire libre, Asiento,
Estacionamiento disponible, Televisión, Sillitas altas disponibles, Sirve
alcohol, Bar completo, Vino y cerveza, Acepta Mastercard, Acepta Visa, Pagos
digitales, Solo pago en efectivo, Wi-Fi gratis, Servicio de mesa","Paseo de la Republica 10685 A un costado de Staybridge Suites Queretaro,
Santiago de Querétaro 76127 México","marketing@odrics.com","+52 442 329 1761","Paseo de la Republica 10685","México","Santiago de Querétaro 76127,","A un costado de Staybridge Suites Queretaro","-100.37587","20.662951",14,7,2,4,0,0
175,"Buffalo Wild Wings","cerveza","","$$ - $$$","4","**N.º 3** de 23 Estadounidense en Chihuahua","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1028202-d8035745-Reviews-Buffalo_Wild_Wings-Chihuahua_Northern_Mexico.html","40","35","35","0","-","Estadounidense, Comida rápida","-","-","Comida para llevar, Asiento, Acceso para silla de ruedas, Wi-Fi gratis,
Servicio de mesa","Periferico de la Juventud, Distrito 1., Chihuahua México","","+52 614 425 5858","Periferico de la Juventud, Distrito 1.","México","Chihuahua,","","-106.128777","28.661909",52,15,19,10,2,3
176,"Garden Chapultepec","cerveza","Ver todos los horarios","$","4"," **N.º 38** de 91 Italiana en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d12658546-Reviews-Garden_Chapultepec-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$34 - $189","Estadounidense, Internacional, Italiana, Mexicana","-","Apto para vegetarianos","-","Avenida Chapultepec sur 208, Guadalajara 44160 México","","+52 33 3852 6280","Avenida Chapultepec sur 208","México","Guadalajara 44160,","","-103.368851","20.672874",17,11,2,1,1,2
177,"La Capital Cantina & Pub","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 1** de 1 Internacional en Guadalupe","-","https://www.tripadvisor.com.mx//Restaurant_Review-g3343018-d12433524-Reviews-La_Capital_Cantina_Pub-Guadalupe_Northern_Mexico.html","0","0","0","0","-","Internacional","Desayuno, Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","-","Paseo de las Américas Plaza El Encino, local 2, Guadalupe 67174 México","","+52 81 8134 1234","Paseo de las Américas","México","Guadalupe 67174,","Plaza El Encino, local 2","-100.262848","25.656179",6,3,2,0,0,1
178,"Hooters Mexicali","cerveza","","$$ - $$$","3.5","**N.º 7** de 18 Estadounidense en Mexicali","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154247-d10227896-Reviews-Hooters_Mexicali-Mexicali_Baja_California.html","40","45","40","0","-","Estadounidense, Comida rápida, Contemporánea","Cena","-","Asiento, Acceso para silla de ruedas, Servicio de mesa, Comida para llevar","Calz. Benito Juárez 1298, Plaza Comercial Fimbres, Mexicali 21270 México","","+52 686 564 6491","Calz. Benito Juárez 1298, Plaza Comercial Fimbres","México","Mexicali 21270,","","-115.449585","32.640869",23,2,10,4,4,0
179,"Gudwey","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 92** de 369 Mexicana en Santiago de Querétaro","-","https://www.tripadvisor.com.mx//Restaurant_Review-g479232-d10140504-Reviews-Gudwey-Queretaro_City_Central_Mexico_and_Gulf_Coast.html","35","35","40","0","-","Bar, Mexicana, Estadounidense, Comida rápida, Pub","Cena, Abierto hasta tarde, Bebidas, Almuerzo","-","Reservaciones, Asiento, Televisión, Sirve alcohol, Acepta Mastercard, Acepta
Visa, Wi-Fi gratis, Servicio de mesa, Comida para llevar, Sillitas altas
disponibles, Acceso para silla de ruedas, Acepta tarjetas de crédito","5 de Mayo, Santiago de Querétaro 76000 México","","+52 442 206 7250","5 de Mayo","México","Santiago de Querétaro 76000,","","-100.388687","20.59371",27,10,9,2,1,2
180,"McCarthy's Irish Pub","cerveza","","$$ - $$$","3.5","**N.º 48** de 65 Bar en Mérida","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d10641200-Reviews-McCarthy_s_Irish_Pub-Merida_Yucatan_Peninsula.html","40","40","40","0","-","Gastropub, Bar, Pub","Cena","-","Asiento, Servicio de mesa","Calle 30 Suite 132 A x11A, Mérida 97000 México","sugerencias@mccarthyspub.com.mx","+52 999 316 2222","Calle 30","México","Mérida 97000,","Suite 132 A x11A","-89.615822","20.998264",25,7,7,1,4,3
181,"Madison Grill","cerveza","","$$ - $$$","4","**N.º 14** de 71 Mexicana en Boca del Río","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g154245-d9770739-Reviews-Madison_Grill-Boca_del_Rio_Central_Mexico_and_Gulf_Coast.html","45","35","40","0","-","Mexicana, Churrasquería","Cena","-","Comida para llevar, Asiento, Sirve alcohol, Wi-Fi gratis, Servicio de mesa,
Reservaciones","Blvd Adolfo Ruiz Cortines Fracc Costa de Oro, Boca del Río 94299 México","","+52 229 922 9433","Blvd Adolfo Ruiz Cortines","México","Boca del Río 94299,","Fracc Costa de Oro","-96.103508","19.14374",69,29,23,6,6,5
182,"Cerveceria La Mexico","cerveza","","$$ - $$$","4","**N.º 40** de 130 Mexicana en La Paz","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150771-d10302452-Reviews-Cerveceria_La_Mexico-La_Paz_Baja_California.html","35","35","40","0","-","Mexicana, Bar, Pub","-","-","Asiento, Sirve alcohol, Servicio de mesa","Calle Paseo Alvaro Obregon 1665 Zona Central, La Paz 23006 México","cervecerialamexico@gmail.com","","Calle Paseo Alvaro Obregon 1665","México","La Paz 23006,","Zona Central","-110.317207","24.163027",30,10,6,8,1,0
183,"Black Pepito","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 108** de 609 Restaurantes en Zapopan","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1006488-d6627819-Reviews-Black_Pepito-Zapopan_Guadalajara_Metropolitan_Area.html","40","35","40","45","-","-","Almuerzo, Cena","-","Reservaciones, Asiento, Sirve alcohol, Servicio de mesa, Acceso para silla de
ruedas","Av. Guadalupe 1289, Zapopan México","","+52 33 3647 3669","Av. Guadalupe 1289","México","Zapopan,","","-103.40448","20.66584",42,10,18,11,2,1
184,"La Cevicheria Pto. Vallarta","cerveza","12:00 - 21:00","$$ - $$$","4"," **N.º 132** de 493 Mexicana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d4580231-Reviews-La_Cevicheria_Pto_Vallarta-Puerto_Vallarta.html","40","40","40","40","$660 - $9,304","Latina, Bar, Mariscos, Mexicana","Cena, Almuerzo","-","-","Marina Vallarta Avenida Paseo de la Marina 121, Local 18-19, Puerto Vallarta
48335 México","","+52 322 221 1050","Marina Vallarta","México","Puerto Vallarta 48335,","Avenida Paseo de la Marina 121, Local 18-19","-105.249489","20.667048",168,61,50,18,8,3
185,"Benitto's Paninoteca Bar","cerveza","8:30 - 2:00","$$ - $$$","4"," **N.º 43** de 123 Bar en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d1966037-Reviews-Benitto_s_Paninoteca_Bar-Puerto_Vallarta.html","45","40","45","45","-","Bar, Delicatessen","Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas","-","Av. de Paseo de la Marina, #121, Nima Shops L-21 Marina Vallarta, Puerto
Vallarta 48354 México","","+52 322 209 0287","Av. de Paseo de la Marina, #121, Nima Shops L-21 Marina Vallarta","México","Puerto Vallarta 48354,","","-105.249252","20.667368",182,83,40,10,8,8
186,"La Vizcaína","cerveza","Ver todos los horarios","$","4"," **N.º 56** de 85 Italiana en Mérida","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d8543741-Reviews-La_Vizcaina-Merida_Yucatan_Peninsula.html","0","0","0","0","$118 - $236","Italiana, Mexicana, Alemana, Española","Almuerzo, Cena","-","-","Calle 57 #553 A Un Lado de Cinemex Rex, Mérida 97000 México","","+52 999 923 5628","Calle 57 #553","México","Mérida 97000,","A Un Lado de Cinemex Rex","-89.629501","20.970852",7,3,2,2,0,0
187,"Finisima Caguameria de Esquina","cerveza","","$$ - $$$","4","**N.º 222** de 553 Mexicana en Playa del Carmen","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d8541667-Reviews-Finisima_Caguameria_de_Esquina-Playa_del_Carmen_Yucatan_Peninsula.html","40","35","40","0","$55 - $385","Mexicana, Caribeña, Mariscos, Gastropub, Bar, Latina, Española","-","Apto para vegetarianos","-","1a Av. Norte esq. Calle 20, Playa del Carmen México","finisima.caguameria@gmail.com","+52 984 803 0892","1a Av. Norte esq. Calle 20","México","Playa del Carmen,","","-87.068962","20.630194",46,15,17,4,0,3
188,"Chiltepino's Wings","cerveza","","$$ - $$$","3","**N.º 103** de 106 Bar en Cabo San Lucas","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d8425419-Reviews-Chiltepino_s_Wings-Cabo_San_Lucas_Los_Cabos_Baja_California.html","35","30","30","0","$90 - $220","Bar, Pub","-","-","Asiento, Televisión, Sirve alcohol, Comida para llevar, Servicio de mesa","Carretera Todos Santos Plaza Sendero, Cabo San Lucas 23273 México","","+52 624 146 4638","Carretera Todos Santos Plaza Sendero","México","Cabo San Lucas 23273,","","-110.218452","23.447901",68,11,11,12,13,14
189,"Mr. Brown","cerveza","10:00 - 23:00","$$ - $$$","4"," **N.º 3** de 48 Estadounidense en Monterrey","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150782-d7702844-Reviews-Mr_Brown-Monterrey_Northern_Mexico.html","45","40","40","0","-","Estadounidense","Almuerzo, Cena","Apto para vegetarianos","-","Avenida Anillo Periferico en San Jeronimo Plaza Platino 1300, Monterrey 64630
México","gerencia@mrbrown.com.mx","81439291","Avenida Anillo Periferico en San Jeronimo Plaza Platino 1300","México","Monterrey 64630,","","-100.285957","25.640282",104,42,36,14,5,1
190,"Cayomango Fish & Drinks","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 5** de 29 Mariscos en Hermosillo","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153979-d7332455-Reviews-Cayomango_Fish_Drinks-Hermosillo_Northern_Mexico.html","40","40","40","0","-","Mariscos","Cena, Almuerzo, Abierto hasta tarde, Bebidas","-","Reservaciones, Asiento, Sirve alcohol, Servicio de mesa","Blvd. Luis D. Colosio #856 Locales 7 y 8, Hermosillo 83224 México","xianca.grupo@gmail.com","+52 662 118 9899","Blvd. Luis D. Colosio","México","Hermosillo 83224,","#856 Locales 7 y 8","-111.020294","29.081415",60,28,19,1,4,4
